IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.10.100,2087,2087,true,SIN,Asia Pacific,Singapore,67,4.58
47.236.232.148,2053,2053,true,SIN,Asia Pacific,Singapore,60,4.58
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,4.57
8.210.119.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,88,4.57
8.219.132.64,2087,2087,true,SIN,Asia Pacific,Singapore,63,4.57
8.222.165.117,2053,2053,true,SIN,Asia Pacific,Singapore,44,4.57
8.218.74.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,4.56
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,4.56
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,149,4.56
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,4.55
8.210.48.107,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,4.55
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,96,4.55
47.243.74.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,4.53
47.236.166.131,2087,2087,true,SIN,Asia Pacific,Singapore,126,4.53
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,77,4.53
8.218.146.204,2096,2096,true,HKG,Asia Pacific,Hong Kong,87,4.51
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,114,4.50
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,124,4.49
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,98,4.49
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,81,4.49
47.243.206.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,4.49
8.217.250.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,4.48
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,100,4.48
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,84,4.47
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,168,4.47
