IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.19.196.158,443,true,SJC,North America,San Jose,479 ms,462 kB/s
104.16.16.155,443,true,SJC,North America,San Jose,248 ms,443 kB/s
104.21.103.84,443,true,LHR,Europe,London,218 ms,327 kB/s
104.17.78.162,443,true,SJC,North America,San Jose,226 ms,188 kB/s
104.21.105.21,443,true,LHR,Europe,London,276 ms,0 kB/s
104.21.100.7,443,true,LHR,Europe,London,278 ms,0 kB/s
104.19.159.133,443,true,SJC,North America,San Jose,239 ms,0 kB/s
104.20.78.208,443,true,IAD,North America,Ashburn,367 ms,0 kB/s
104.17.168.207,443,true,SJC,North America,San Jose,225 ms,0 kB/s
104.20.63.99,443,true,IAD,North America,Ashburn,367 ms,0 kB/s
104.18.111.219,443,true,SJC,North America,San Jose,232 ms,0 kB/s
104.18.222.167,443,true,SJC,North America,San Jose,211 ms,0 kB/s
104.21.60.211,443,true,LHR,Europe,London,433 ms,0 kB/s
